type,group,id,name,dnaScore,grade,effectiveGrade,flashMode,metricTension,livingScore,pinFlashScore,simFlashScore,angleSpreadScore,detail,mRange,rRange,ccRange,darkGlossPct,darkVoidPct,firstRepair,topWeakness
base,Bases,acid_etch,Acid Etch,27,D,Hard Rework,mixed,true,16,13,19,92,2,80,179,0,0,0,widen-spec-channel-spectrum,Living score is 16; the finish is not changing enough across light angles.
base,Bases,acid_rain,Acid Rain,35,D,Hard Rework,mixed,true,20,4,28,77,29,64,122,52,0,0,widen-spec-channel-spectrum,Living score is 20; the finish is not changing enough across light angles.
base,Bases,alubeam,Alubeam,29,D,Hard Rework,mixed,true,30,4,29,95,6,50,26,19,0,0,widen-spec-channel-spectrum,Living score is 30; the finish is not changing enough across light angles.
base,Bases,ambulance_white,Ambulance White,32,D,Hard Rework,mixed,true,6,4,90,91,0,13,10,5,0,0,widen-spec-channel-spectrum,Living score is 6; the finish is not changing enough across light angles.
base,Bases,anime_cel_shade_chrome,Anime Cel Shade Chrome,35,D,Hard Rework,mixed,true,40,4,29,96,1,220,97,49,100,0,widen-spec-channel-spectrum,Living score is 40; the finish is not changing enough across light angles.
base,Bases,anime_comic_halftone,Anime Comic Halftone,44,D,Hard Rework,mixed,true,43,4,27,64,56,186,105,48,0,0,widen-spec-channel-spectrum,Living score is 43; the finish is not changing enough across light angles.
base,Bases,anime_crystal_facet,Anime Crystal Facet,31,D,Hard Rework,mixed,true,29,6,28,93,2,160,54,38,0,0,widen-spec-channel-spectrum,Living score is 29; the finish is not changing enough across light angles.
base,Bases,anime_energy_aura,Anime Energy Aura,32,D,Hard Rework,mixed,true,22,21,26,63,6,232,153,30,100,0,rebalance-practical-sim-lighting,Living score is 22; the finish is not changing enough across light angles.
base,Bases,anime_gradient_hair,Anime Gradient Hair,33,D,Hard Rework,mixed,false,21,36,16,93,5,168,97,30,100,0,widen-spec-channel-spectrum,Living score is 21; the finish is not changing enough across light angles.
base,Bases,anime_mecha_plate,Anime Mecha Plate,35,D,Hard Rework,mixed,true,35,4,15,94,11,177,154,64,100,0,widen-spec-channel-spectrum,Living score is 35; the finish is not changing enough across light angles.
base,Bases,anime_neon_outline,Anime Neon Outline,48,D,Hard Rework,heroBand,false,41,35,13,91,25,238,186,42,100,0,rebalance-practical-sim-lighting,Living score is 41; the finish is not changing enough across light angles.
base,Bases,anime_sakura_scatter,Anime Sakura Scatter,27,D,Hard Rework,mixed,true,14,5,35,91,2,138,55,37,0,0,widen-spec-channel-spectrum,Living score is 14; the finish is not changing enough across light angles.
base,Bases,anime_sparkle_burst,Anime Sparkle Burst,37,D,Hard Rework,pinfield,false,22,60,13,77,2,235,160,34,100,0,rebalance-practical-sim-lighting,Living score is 22; the finish is not changing enough across light angles.
base,Bases,anime_speed_lines,Anime Speed Lines,38,D,Hard Rework,mixed,false,24,62,13,63,8,232,146,28,100,0,rebalance-practical-sim-lighting,Living score is 24; the finish is not changing enough across light angles.
base,Bases,anodized,Anodized,23,D,Hard Rework,mixed,true,13,5,16,93,3,91,53,33,0,0,widen-spec-channel-spectrum,Living score is 13; the finish is not changing enough across light angles.
base,Bases,anodized_exotic,Anodized Exotic,29,D,Hard Rework,mixed,false,15,37,16,92,4,94,51,34,100,0,widen-spec-channel-spectrum,Living score is 15; the finish is not changing enough across light angles.
base,Bases,antique_chrome,Antique Chrome,34,D,Hard Rework,mixed,true,30,5,28,94,11,102,68,80,0,0,widen-spec-channel-spectrum,Living score is 30; the finish is not changing enough across light angles.
base,Bases,aramid,Aramid,24,D,Hard Rework,mixed,true,11,4,16,91,13,23,49,21,0,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
base,Bases,arctic_ice,Arctic Ice,39,D,Hard Rework,mixed,true,19,4,76,91,2,148,125,89,0,0,widen-spec-channel-spectrum,Living score is 19; the finish is not changing enough across light angles.
base,Bases,armor_plate,Armor Plate,23,D,Hard Rework,mixed,true,22,4,15,93,2,93,27,3,0,0,widen-spec-channel-spectrum,Living score is 22; the finish is not changing enough across light angles.
base,Bases,asphalt_grind,Asphalt Grind,37,D,Hard Rework,mixed,true,18,28,29,91,17,78,120,31,0,0,widen-spec-channel-spectrum,Living score is 18; the finish is not changing enough across light angles.
base,Bases,barn_find,Barn Find,33,D,Hard Rework,mixed,true,17,27,26,92,9,83,105,34,0,0,widen-spec-channel-spectrum,Living score is 17; the finish is not changing enough across light angles.
base,Bases,battle_patina,Battle Patina,18,D,Hard Rework,mixed,true,6,4,18,92,0,31,0,0,0,0,widen-spec-channel-spectrum,Living score is 6; the finish is not changing enough across light angles.
base,Bases,battleship_gray,Battleship Gray,34,D,Hard Rework,mixed,true,11,4,76,92,5,72,43,17,0,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
